Modo de Envio,Segmento,Cidade,Estado,Código Postal,Região,Categoria,Subcategoria,Vendas,Quantidade,Desconto,Lucro
Segunda Classe,Consumidor,Henderson,Kentucky,42420,Sul,Mobílias,Estantes,261.96,2,0.0,41.9136
Segunda Classe,Consumidor,Henderson,Kentucky,42420,Sul,Mobílias,Cadeiras,731.94,3,0.0,219.582
Segunda Classe,Corporativo,Los Angeles,California,90036,Oeste,Itens de Escritório,Etiquetas,14.62,2,0.0,6.8714
Classe Padrão,Consumidor,Fort Lauderdale,Florida,33311,Sul,Mobílias,Mesas,957.5775,5,0.45,-383.031
Classe Padrão,Consumidor,Fort Lauderdale,Florida,33311,Sul,Itens de Escritório,Armazenamento,22.368,2,0.2,2.5164
Classe Padrão,Consumidor,Los Angeles,California,90032,Oeste,Mobílias,Mobiliário,48.86,7,0.0,14.1694
Classe Padrão,Consumidor,Los Angeles,California,90032,Oeste,Itens de Escritório,Arte,7.28,4,0.0,1.9656
Classe Padrão,Consumidor,Los Angeles,California,90032,Oeste,Técnologia,Telefones,907.152,6,0.2,90.7152
Classe Padrão,Consumidor,Los Angeles,California,90032,Oeste,Itens de Escritório,Ficharios,18.504,3,0.2,5.7825
Classe Padrão,Consumidor,Los Angeles,California,90032,Oeste,Itens de Escritório,Eletrodomésticos,114.9,5,0.0,34.47
Classe Padrão,Consumidor,Los Angeles,California,90032,Oeste,Mobílias,Mesas,1706.184,9,0.2,85.3092
Classe Padrão,Consumidor,Los Angeles,California,90032,Oeste,Técnologia,Telefones,911.424,4,0.2,68.3568
Classe Padrão,Consumidor,Concord,North Carolina,28027,Sul,Itens de Escritório,Papel,15.552,3,0.2,5.4432
Classe Padrão,Consumidor,Seattle,Washington,98103,Oeste,Itens de Escritório,Ficharios,407.976,3,0.2,132.5922
Classe Padrão,Home Office,Fort Worth,Texas,76106,Central,Itens de Escritório,Eletrodomésticos,68.81,5,0.8,-123.858
Classe Padrão,Home Office,Fort Worth,Texas,76106,Central,Itens de Escritório,Ficharios,2.544,3,0.8,-3.816
Classe Padrão,Consumidor,Madison,Wisconsin,53711,Central,Itens de Escritório,Armazenamento,665.88,6,0.0,13.3176
Segunda Classe,Consumidor,West Jordan,Utah,84084,Oeste,Itens de Escritório,Armazenamento,55.5,2,0.0,9.99
Segunda Classe,Consumidor,San Francisco,California,94109,Oeste,Itens de Escritório,Arte,8.56,2,0.0,2.4824
Segunda Classe,Consumidor,San Francisco,California,94109,Oeste,Técnologia,Telefones,213.48,3,0.2,16.011
Segunda Classe,Consumidor,San Francisco,California,94109,Oeste,Itens de Escritório,Ficharios,22.72,4,0.2,7.384
Classe Padrão,Corporativo,Fremont,Nebraska,68025,Central,Itens de Escritório,Arte,19.46,7,0.0,5.0596
Classe Padrão,Corporativo,Fremont,Nebraska,68025,Central,Itens de Escritório,Eletrodomésticos,60.34,7,0.0,15.6884
Segunda Classe,Consumidor,Philadelphia,Pennsylvania,19140,Leste,Mobílias,Cadeiras,71.372,2,0.3,-1.0196
Classe Padrão,Consumidor,Orem,Utah,84057,Oeste,Mobílias,Mesas,1044.63,3,0.0,240.2649
Segunda Classe,Consumidor,Los Angeles,California,90049,Oeste,Itens de Escritório,Ficharios,11.648,2,0.2,4.2224
Segunda Classe,Consumidor,Los Angeles,California,90049,Oeste,Técnologia,Acessórios,90.57,3,0.0,11.7741
Classe Padrão,Consumidor,Philadelphia,Pennsylvania,19140,Leste,Mobílias,Estantes,3083.43,7,0.5,-1665.0522
Classe Padrão,Consumidor,Philadelphia,Pennsylvania,19140,Leste,Itens de Escritório,Ficharios,9.618,2,0.7,-7.0532
Classe Padrão,Consumidor,Philadelphia,Pennsylvania,19140,Leste,Mobílias,Mobiliário,124.2,3,0.2,15.525
Classe Padrão,Consumidor,Philadelphia,Pennsylvania,19140,Leste,Itens de Escritório,Envelopes,3.264,2,0.2,1.1016
Classe Padrão,Consumidor,Philadelphia,Pennsylvania,19140,Leste,Itens de Escritório,Arte,86.304,6,0.2,9.7092
Classe Padrão,Consumidor,Philadelphia,Pennsylvania,19140,Leste,Itens de Escritório,Ficharios,6.858,6,0.7,-5.715
Classe Padrão,Consumidor,Philadelphia,Pennsylvania,19140,Leste,Itens de Escritório,Arte,15.76,2,0.2,3.546
Segunda Classe,Home Office,Houston,Texas,77095,Central,Itens de Escritório,Papel,29.472,3,0.2,9.9468
Primeira Classe,Corporativo,Richardson,Texas,75080,Central,Técnologia,Telefones,1097.544,7,0.2,123.4737
Primeira Classe,Corporativo,Richardson,Texas,75080,Central,Mobílias,Mobiliário,190.92,5,0.6,-147.963
Classe Padrão,Home Office,Houston,Texas,77041,Central,Itens de Escritório,Envelopes,113.328,9,0.2,35.415
Classe Padrão,Home Office,Houston,Texas,77041,Central,Mobílias,Estantes,532.3992,3,0.32,-46.9764
Classe Padrão,Home Office,Houston,Texas,77041,Central,Mobílias,Cadeiras,212.058,3,0.3,-15.147
Classe Padrão,Home Office,Houston,Texas,77041,Central,Técnologia,Telefones,371.168,4,0.2,41.7564
Classe Padrão,Corporativo,Naperville,Illinois,60540,Central,Técnologia,Telefones,147.168,4,0.2,16.5564
Classe Padrão,Corporativo,Los Angeles,California,90049,Oeste,Itens de Escritório,Armazenamento,77.88,2,0.0,3.894
Classe Padrão,Corporativo,Melbourne,Florida,32935,Sul,Itens de Escritório,Armazenamento,95.616,2,0.2,9.5616
Primeira Classe,Corporativo,Eagan,Minnesota,55122,Central,Técnologia,Acessórios,45.98,2,0.0,19.7714
Primeira Classe,Corporativo,Eagan,Minnesota,55122,Central,Itens de Escritório,Ficharios,17.46,2,0.0,8.2062
Segunda Classe,Consumidor,Westland,Michigan,48185,Central,Itens de Escritório,Armazenamento,211.96,4,0.0,8.4784
Classe Padrão,Consumidor,Dover,Delaware,19901,Leste,Técnologia,Acessórios,45.0,3,0.0,4.95
Classe Padrão,Consumidor,Dover,Delaware,19901,Leste,Técnologia,Telefones,21.8,2,0.0,6.104
Classe Padrão,Consumidor,New Albany,Indiana,47150,Central,Itens de Escritório,Ficharios,38.22,6,0.0,17.9634
Classe Padrão,Consumidor,New Albany,Indiana,47150,Central,Itens de Escritório,Etiquetas,75.18,6,0.0,35.3346
Classe Padrão,Consumidor,New Albany,Indiana,47150,Central,Mobílias,Mobiliário,6.16,2,0.0,2.9568
Classe Padrão,Consumidor,New Albany,Indiana,47150,Central,Mobílias,Cadeiras,89.99,1,0.0,17.0981
Classe Padrão,Corporativo,New York City,New York,10024,Leste,Itens de Escritório,Fixadores,15.26,7,0.0,6.2566
Classe Padrão,Corporativo,New York City,New York,10024,Leste,Técnologia,Telefones,1029.95,5,0.0,298.6855
Primeira Classe,Consumidor,Troy,New York,12180,Leste,Itens de Escritório,Armazenamento,208.56,6,0.0,52.14
Primeira Classe,Consumidor,Troy,New York,12180,Leste,Itens de Escritório,Papel,32.4,5,0.0,15.552
Primeira Classe,Consumidor,Troy,New York,12180,Leste,Mobílias,Cadeiras,319.41,5,0.1,7.098
Primeira Classe,Consumidor,Troy,New York,12180,Leste,Itens de Escritório,Papel,14.56,2,0.0,6.9888
Primeira Classe,Consumidor,Troy,New York,12180,Leste,Técnologia,Acessórios,30.0,2,0.0,3.3
Primeira Classe,Consumidor,Troy,New York,12180,Leste,Itens de Escritório,Ficharios,48.48,4,0.2,16.362
Primeira Classe,Consumidor,Troy,New York,12180,Leste,Itens de Escritório,Arte,1.68,1,0.0,0.84
Classe Padrão,Consumidor,Los Angeles,California,90004,Oeste,Técnologia,Acessórios,13.98,2,0.0,6.1512
Classe Padrão,Consumidor,Los Angeles,California,90004,Oeste,Itens de Escritório,Ficharios,25.824,6,0.2,9.3612
Classe Padrão,Consumidor,Los Angeles,California,90004,Oeste,Itens de Escritório,Papel,146.73,3,0.0,68.9631
Classe Padrão,Consumidor,Los Angeles,California,90004,Oeste,Mobílias,Mobiliário,79.76,4,0.0,22.3328
Classe Padrão,Home Office,Chicago,Illinois,60610,Central,Mobílias,Cadeiras,213.115,5,0.3,-15.2225
Classe Padrão,Corporativo,Gilbert,Arizona,85234,Oeste,Itens de Escritório,Arte,1113.024,8,0.2,111.3024
Classe Padrão,Corporativo,Gilbert,Arizona,85234,Oeste,Técnologia,Telefones,167.968,4,0.2,62.988
Primeira Classe,Consumidor,Springfield,Virginia,22153,Sul,Itens de Escritório,Papel,75.88,2,0.0,35.6636
Classe Padrão,Consumidor,New York City,New York,10009,Leste,Itens de Escritório,Ficharios,4.616,1,0.2,1.731
Segunda Classe,Consumidor,Jackson,Michigan,49201,Central,Itens de Escritório,Papel,19.05,3,0.0,8.763
Classe Padrão,Consumidor,Memphis,Tennessee,38109,Sul,Mobílias,Cadeiras,831.936,8,0.2,-114.3912
Classe Padrão,Consumidor,Memphis,Tennessee,38109,Sul,Mobílias,Mobiliário,97.04,2,0.2,1.213
Classe Padrão,Consumidor,Memphis,Tennessee,38109,Sul,Itens de Escritório,Armazenamento,72.784,1,0.2,-18.196
Primeira Classe,Corporativo,Houston,Texas,77041,Central,Itens de Escritório,Ficharios,1.248,3,0.8,-1.9344
Primeira Classe,Corporativo,Houston,Texas,77041,Central,Mobílias,Mobiliário,9.708,3,0.6,-5.8248
Primeira Classe,Corporativo,Houston,Texas,77041,Central,Itens de Escritório,Armazenamento,27.24,3,0.2,2.724
Segunda Classe,Consumidor,Houston,Texas,77070,Central,Mobílias,Mobiliário,19.3,5,0.6,-14.475
